id;year;title;studios;producers;winner
88;1996;Ed;Universal Studios;Rosalie Swedlin;
89;1996;The Island of Dr. Moreau;New Line Cinema;Edward R. Pressman;
90;1996;The Stupids;New Line Cinema, Savoy Pictures;Leslie Belzberg;
91;1997;The Postman;Warner Bros.;Kevin Costner, Steve Tisch and Jim Wilson;yes
92;1997;Anaconda;Columbia Pictures;Verna Harrah, Carole Little and Leonard Rabinowitz;
93;1997;Batman & Robin;Warner Bros.;Peter MacGregor-Scott;
94;1997;Fire Down Below;Warner Bros.;Julius R. Nasso and Steven Seagal;
95;1997;Speed 2: Cruise Control;20th Century Fox;Jan de Bont, Steve Perry and Michael Peyser;
96;1998;An Alan Smithee Film: Burn Hollywood Burn;Hollywood Pictures;Ben Myron and Joe Eszterhas;yes
97;1998;Armageddon;Touchstone Pictures;Michael Bay and Jerry Bruckheimer;
98;1998;The Avengers;Warner Bros.;Jerry Weintraub;
99;1998;Godzilla;TriStar Pictures;Roland Emmerich and Dean Devlin;
100;1998;Spice World;Columbia Pictures;Uri Fruchtan, Mark L. Rosen and Barnaby Thompson;
101;1999;Wild Wild West;Warner Bros.;Jon Peters and Barry Sonnenfeld;yes
102;1999;Big Daddy;Columbia Pictures;Sidney Ganis and Jack Giarraputo;
103;1999;The Blair Witch Project;Artisan Entertainment;Robin Cowie and Gregg Hale;
104;1999;The Haunting;DreamWorks;Susan Arthur, Donna Roth and Colin Wilson;
105;1999;Star Wars: Episode I – The Phantom Menace;20th Century Fox;Rick McCallum and George Lucas;
106;2000;Battlefield Earth;Warner Bros., Franchise Pictures;Jonathan D. Krane, Elie Samaha and John Travolta;yes
107;2000;Book of Shadows: Blair Witch 2;Artisan Entertainment;Bill Carraro;
108;2000;The Flintstones in Viva Rock Vegas;Universal Studios;Bruce Cohen;
109;2000;Little Nicky;New Line Cinema;Jack Giarraputo and Robert Simonds;
110;2000;The Next Best Thing;Paramount Pictures;Leslie Dixon, Linne Radmin and Tom Rosenberg;
111;2001;Freddy Got Fingered;20th Century Fox;Larry Brezner, Howard Lapides and Lauren Lloyd;yes
112;2001;Driven;Warner Bros., Franchise Pictures;Renny Harlin, Elie Samaha and Sylvester Stallone;
113;2001;Glitter;20th Century Fox, Columbia Pictures;Laurence Mark and E. Bennett Walsh;
114;2001;Pearl Harbor;Touchstone Pictures;Michael Bay and Jerry Bruckheimer;
115;2001;3000 Miles to Graceland;Warner Bros., Franchise Pictures;Demian Lichtenstein, Eric Manes, Elie Samaha, Richard Spero and Andrew Stevens;
